"Date","Price","Open","High","Low","Change %"
"Mar 24, 2020","6.9268","7.0348","7.0944","6.8888","-1.55%"
"Mar 23, 2020","7.0361","7.0083","7.1390","6.9731","0.40%"
"Mar 20, 2020","7.0079","6.9967","7.0371","6.9482","0.16%"
"Mar 19, 2020","6.9967","7.0792","7.1307","6.9669","-1.26%"
"Mar 18, 2020","7.0858","7.0517","7.1312","7.0009","0.72%"
"Mar 17, 2020","7.0352","7.1914","7.2031","7.0014","-2.19%"
"Mar 16, 2020","7.1924","7.0226","7.2074","6.9875","2.27%"
"Mar 13, 2020","7.0328","7.0633","7.0873","6.9642","-0.45%"
"Mar 12, 2020","7.0643","6.9960","7.0929","6.9659","0.96%"
"Mar 11, 2020","6.9970","6.9417","7.0379","6.9368","0.74%"
"Mar 10, 2020","6.9456","7.0386","7.0691","6.9181","-1.26%"
"Mar 09, 2020","7.0345","6.8796","7.0916","6.8744","2.31%"
"Mar 06, 2020","6.8754","6.8666","6.9305","6.8231","0.16%"
"Mar 05, 2020","6.8643","6.7703","6.8842","6.7447","1.43%"
"Mar 04, 2020","6.7677","6.8214","6.8565","6.7525","-0.81%"
"Mar 03, 2020","6.8233","6.8761","6.9276","6.7477","-0.74%"
"Mar 02, 2020","6.8745","6.8678","6.9593","6.8422","-0.13%"
"Feb 28, 2020","6.8835","6.8308","6.9170","6.8099","0.80%"
"Feb 27, 2020","6.8286","6.6955","6.8350","6.6905","1.90%"
"Feb 26, 2020","6.7016","6.6854","6.7254","6.6728","0.24%"
"Feb 25, 2020","6.6853","6.6415","6.7028","6.5858","0.69%"
"Feb 24, 2020","6.6394","6.6092","6.6766","6.5947","0.42%"
"Feb 21, 2020","6.6117","6.5793","6.6425","6.5709","0.50%"
"Feb 20, 2020","6.5786","6.5739","6.6070","6.5590","0.09%"
"Feb 19, 2020","6.5725","6.5438","6.5814","6.5290","0.43%"
"Feb 18, 2020","6.5445","6.5503","6.5814","6.5411","-0.08%"
"Feb 17, 2020","6.5499","6.5589","6.5708","6.5383","-0.06%"
"Feb 14, 2020","6.5539","6.5454","6.5828","6.5341","0.08%"
"Feb 13, 2020","6.5488","6.5757","6.5980","6.5431","-0.31%"
"Feb 12, 2020","6.5694","6.5695","6.6087","6.5399","0.03%"
"Feb 11, 2020","6.5674","6.5573","6.6055","6.5444","0.14%"
"Feb 10, 2020","6.5584","6.5879","6.5958","6.5398","-0.38%"
"Feb 07, 2020","6.5837","6.5753","6.6354","6.5449","0.14%"
"Feb 06, 2020","6.5744","6.5782","6.5935","6.5614","-0.09%"
"Feb 05, 2020","6.5804","6.6059","6.6188","6.5739","-0.36%"
"Feb 04, 2020","6.6044","6.6188","6.6245","6.5831","-0.22%"
"Feb 03, 2020","6.6188","6.6374","6.6388","6.6039","-0.27%"
"Jan 31, 2020","6.6367","6.5826","6.6402","6.5747","0.73%"
"Jan 30, 2020","6.5889","6.5644","6.6127","6.5607","0.46%"
"Jan 29, 2020","6.5589","6.5493","6.5758","6.5307","0.18%"
"Jan 28, 2020","6.5474","6.5483","6.5618","6.5275","-0.04%"
"Jan 27, 2020","6.5497","6.5449","6.5651","6.5390","0.03%"
"Jan 24, 2020","6.5479","6.5572","6.5697","6.5370","-0.18%"
"Jan 23, 2020","6.5599","6.5693","6.5854","6.5424","-0.14%"
"Jan 22, 2020","6.5694","6.5828","6.5934","6.5560","-0.18%"
"Jan 21, 2020","6.5813","6.5609","6.5983","6.5560","0.31%"
"Jan 20, 2020","6.5607","6.5357","6.5712","6.5226","0.43%"
"Jan 17, 2020","6.5329","6.5215","6.5566","6.5057","0.11%"
"Jan 16, 2020","6.5259","6.5565","6.5787","6.5116","-0.40%"
"Jan 15, 2020","6.5521","6.5439","6.5663","6.5355","0.09%"
"Jan 14, 2020","6.5461","6.5332","6.5778","6.5240","0.20%"
"Jan 13, 2020","6.5330","6.5447","6.5488","6.5045","-0.06%"
"Jan 10, 2020","6.5372","6.5197","6.5469","6.5009","0.22%"
"Jan 09, 2020","6.5231","6.5664","6.5935","6.5048","-0.59%"
"Jan 08, 2020","6.5618","6.6635","6.6868","6.5549","-1.50%"
"Jan 07, 2020","6.6620","6.6796","6.6874","6.6452","-0.33%"
"Jan 06, 2020","6.6841","6.6734","6.7015","6.6565","0.27%"
"Jan 03, 2020","6.6662","6.6524","6.6816","6.6380","0.16%"
"Jan 02, 2020","6.6553","6.6684","6.6830","6.6462","-0.18%"
"Jan 01, 2020","6.6673","6.6668","6.6757","6.6601","-0.04%"
"Dec 31, 2019","6.6699","6.6579","6.6896","6.6528","0.13%"
"Dec 30, 2019","6.6612","6.6523","6.6745","6.6447","0.17%"
"Dec 27, 2019","6.6502","6.5766","6.6662","6.5766","0.99%"
"Dec 26, 2019","6.5850","6.5874","6.5969","6.5760","0.04%"
"Dec 25, 2019","6.5825","6.5944","6.5977","6.5677","-0.17%"
"Dec 24, 2019","6.5938","6.5939","6.6056","6.5696","-0.03%"
"Dec 23, 2019","6.5959","6.5789","6.6021","6.5540","0.23%"
"Dec 20, 2019","6.5808","6.6048","6.6115","6.5477","-0.42%"
"Dec 19, 2019","6.6084","6.5851","6.6218","6.5635","0.34%"
"Dec 18, 2019","6.5857","6.5629","6.5996","6.5518","0.35%"
"Dec 17, 2019","6.5629","6.5176","6.5731","6.5139","0.67%"
"Dec 16, 2019","6.5191","6.4643","6.5342","6.4586","0.93%"
"Dec 13, 2019","6.4593","6.4442","6.4983","6.4349","0.21%"
"Dec 12, 2019","6.4459","6.4653","6.4765","6.4060","-0.28%"
"Dec 11, 2019","6.4637","6.4375","6.4642","6.4165","0.36%"
"Dec 10, 2019","6.4403","6.4280","6.4470","6.4130","0.17%"
"Dec 09, 2019","6.4295","6.3886","6.4441","6.3831","0.64%"
"Dec 06, 2019","6.3883","6.3804","6.4077","6.3636","0.08%"
"Dec 05, 2019","6.3835","6.3708","6.4021","6.3559","0.20%"
"Dec 04, 2019","6.3708","6.3648","6.3913","6.3480","0.09%"
"Dec 03, 2019","6.3651","6.3577","6.3903","6.3388","0.06%"
"Dec 02, 2019","6.3612","6.3297","6.3704","6.3101","0.47%"
