"Date","Price","Open","High","Low","Change %"
"Dec 10, 2018","6.0492","6.0503","6.0964","6.0132","0.26%"
"Dec 07, 2018","6.0336","6.0696","6.0853","5.9808","-0.65%"
"Dec 06, 2018","6.0729","6.0469","6.1312","6.0335","0.51%"
"Dec 05, 2018","6.0420","6.1049","6.1794","6.0216","-1.15%"
"Dec 04, 2018","6.1126","5.9609","6.2143","5.9419","2.54%"
"Dec 03, 2018","5.9610","5.9072","6.0042","5.8451","1.04%"
"Nov 30, 2018","5.8994","5.8719","5.9516","5.8460","0.29%"
"Nov 29, 2018","5.8823","5.9409","5.9580","5.8323","-0.90%"
"Nov 28, 2018","5.9355","5.9551","5.9672","5.9111","-0.26%"
"Nov 27, 2018","5.9508","5.9475","5.9901","5.9040","0.10%"
"Nov 26, 2018","5.9446","5.9976","6.0139","5.9176","-0.87%"
"Nov 23, 2018","5.9968","6.0290","6.0648","5.9634","-0.74%"
"Nov 22, 2018","6.0416","6.0496","6.1010","6.0164","-0.03%"
"Nov 21, 2018","6.0432","6.1182","6.1456","6.0160","-1.17%"
"Nov 20, 2018","6.1148","6.0729","6.1958","6.0682","0.60%"
"Nov 19, 2018","6.0786","6.0979","6.1299","6.0454","-0.17%"
"Nov 16, 2018","6.0889","6.0594","6.1120","6.0282","0.51%"
"Nov 15, 2018","6.0583","6.1711","6.2014","6.0060","-1.94%"
"Nov 14, 2018","6.1780","6.1905","6.2306","6.1433","-0.11%"
"Nov 13, 2018","6.1848","6.1272","6.2172","6.1178","0.82%"
"Nov 12, 2018","6.1346","6.1954","6.2309","6.1120","-0.90%"
"Nov 09, 2018","6.1902","6.2034","6.2847","6.1602","-0.25%"
"Nov 08, 2018","6.2055","6.1254","6.2668","6.1224","1.30%"
"Nov 07, 2018","6.1258","6.1277","6.2146","6.1113","0.08%"
"Nov 06, 2018","6.1209","6.0606","6.1882","6.0450","1.00%"
"Nov 05, 2018","6.0605","6.1883","6.2368","6.0496","-1.98%"
"Nov 02, 2018","6.1827","6.2841","6.3048","6.1580","-1.69%"
"Nov 01, 2018","6.2892","6.3170","6.4215","6.2741","-0.42%"
"Oct 31, 2018","6.3159","6.2073","6.3784","6.1933","1.69%"
"Oct 30, 2018","6.2107","6.3263","6.3355","6.1962","-1.80%"
"Oct 29, 2018","6.3243","6.3841","6.3905","6.2847","-0.86%"
"Oct 26, 2018","6.3793","6.4022","6.4330","6.3311","-0.47%"
"Oct 25, 2018","6.4096","6.4999","6.5541","6.3835","-1.33%"
"Oct 24, 2018","6.4961","6.5675","6.6258","6.4422","-1.13%"
"Oct 23, 2018","6.5705","6.4972","6.7345","6.4848","1.09%"
"Oct 22, 2018","6.4994","6.4968","6.5322","6.4831","0.04%"
"Oct 19, 2018","6.4971","6.4604","6.5490","6.3978","0.54%"
"Oct 18, 2018","6.4623","6.4165","6.5441","6.3418","0.64%"
"Oct 17, 2018","6.4211","6.5766","6.6062","6.3735","-2.43%"
"Oct 16, 2018","6.5808","6.7011","6.7290","6.5560","-1.79%"
"Oct 15, 2018","6.7005","6.7896","6.8232","6.6566","-1.32%"
"Oct 12, 2018","6.7900","6.8692","6.9432","6.7211","-1.17%"
"Oct 11, 2018","6.8704","6.9947","7.0306","6.8328","-1.85%"
"Oct 10, 2018","6.9996","7.0149","7.0503","6.9004","-0.15%"
"Oct 09, 2018","7.0104","7.0171","7.0522","6.9619","-0.17%"
"Oct 08, 2018","7.0224","7.0698","7.1239","6.9962","-0.65%"
"Oct 05, 2018","7.0680","7.0901","7.1472","6.9969","-0.40%"
"Oct 04, 2018","7.0961","6.9307","7.1668","6.9249","2.26%"
"Oct 03, 2018","6.9394","6.8976","7.0557","6.8797","0.41%"
"Oct 02, 2018","6.9111","6.8722","6.9786","6.8327","0.50%"
"Oct 01, 2018","6.8768","7.0386","7.0551","6.8279","-2.18%"
"Sep 28, 2018","7.0304","6.9897","7.0784","6.8915","0.50%"
"Sep 27, 2018","6.9954","7.1577","7.1922","6.9390","-2.44%"
"Sep 26, 2018","7.1707","7.2500","7.2985","7.1120","-1.14%"
"Sep 25, 2018","7.2537","7.2033","7.3355","7.0959","0.36%"
"Sep 24, 2018","7.2279","7.3357","7.4353","7.0987","-2.26%"
"Sep 21, 2018","7.3951","7.2811","7.4206","7.2782","1.29%"
"Sep 20, 2018","7.3008","7.2894","7.4731","7.1389","0.08%"
"Sep 19, 2018","7.2949","7.4521","7.5016","7.2467","-2.08%"
"Sep 18, 2018","7.4500","7.3789","7.5528","7.3480","0.98%"
"Sep 17, 2018","7.3774","7.1699","7.3960","7.1332","2.80%"
"Sep 14, 2018","7.1764","7.0930","7.2204","7.0029","0.95%"
"Sep 13, 2018","7.1090","7.3732","7.6283","6.9774","-3.62%"
"Sep 12, 2018","7.3762","7.4660","7.5110","7.3191","-1.17%"
"Sep 11, 2018","7.4634","7.4920","7.5427","7.4338","-0.38%"
"Sep 10, 2018","7.4916","7.3652","7.5310","7.3628","1.18%"
"Sep 07, 2018","7.4039","7.6337","7.6871","7.3418","-3.22%"
"Sep 06, 2018","7.6504","7.6745","7.7378","7.5971","-0.38%"
"Sep 05, 2018","7.6799","7.7347","7.7790","7.6324","-0.60%"
"Sep 04, 2018","7.7264","7.6951","7.7754","7.6198","0.19%"
"Sep 03, 2018","7.7114","7.5912","7.8116","7.5409","1.65%"
"Aug 31, 2018","7.5861","7.7774","7.9478","7.4483","-2.28%"
"Aug 30, 2018","7.7631","7.5583","7.9877","7.4946","2.40%"
"Aug 29, 2018","7.5811","7.3383","7.6236","7.2982","3.34%"
"Aug 28, 2018","7.3363","7.1775","7.3987","7.1349","2.62%"
"Aug 27, 2018","7.1489","6.9854","7.3155","6.9289","2.40%"
"Aug 24, 2018","6.9811","7.0261","7.0952","6.9512","-1.23%"
"Aug 23, 2018","7.0677","7.0344","7.1566","6.9676","0.71%"
"Aug 22, 2018","7.0176","7.0260","7.0925","6.9664","-0.18%"
"Aug 21, 2018","7.0302","6.9850","7.1155","6.9364","0.71%"
"Aug 20, 2018","6.9806","6.9126","7.1124","6.8251","1.49%"
"Aug 17, 2018","6.8782","6.6209","7.2142","6.5134","3.75%"
"Aug 16, 2018","6.6294","6.7713","6.8554","6.4553","-2.45%"
"Aug 15, 2018","6.7962","7.1921","7.4713","6.6424","-5.72%"
"Aug 14, 2018","7.2084","7.8577","7.9420","7.1215","-8.21%"
"Aug 13, 2018","7.8533","7.3471","8.2370","7.3296","7.07%"
"Aug 10, 2018","7.3344","6.3887","7.7665","6.3751","14.73%"
"Aug 09, 2018","6.3925","6.1288","6.4390","6.1269","4.27%"
"Aug 08, 2018","6.1306","6.0864","6.1581","6.0526","0.78%"
"Aug 07, 2018","6.0829","6.1593","6.2066","5.9856","-1.22%"
"Aug 06, 2018","6.1582","5.8777","6.2690","5.8761","4.77%"
"Aug 03, 2018","5.8780","5.8671","5.9273","5.8546","0.16%"
"Aug 02, 2018","5.8685","5.8219","5.9206","5.7767","0.76%"
"Aug 01, 2018","5.8243","5.7455","5.8539","5.7345","1.37%"
"Jul 31, 2018","5.7454","5.7179","5.7758","5.7115","0.52%"
"Jul 30, 2018","5.7157","5.6513","5.7373","5.6447","1.03%"
"Jul 27, 2018","5.6573","5.6629","5.6783","5.6275","-0.12%"
"Jul 26, 2018","5.6640","5.5919","5.6956","5.5901","1.18%"
"Jul 25, 2018","5.5978","5.7118","5.7181","5.5978","-1.96%"
"Jul 24, 2018","5.7099","5.5438","5.7838","5.5295","3.04%"
"Jul 23, 2018","5.5414","5.6253","5.6297","5.5337","-1.35%"
"Jul 20, 2018","5.6170","5.5918","5.6330","5.5739","0.37%"
"Jul 19, 2018","5.5964","5.5842","5.6273","5.5671","0.27%"
"Jul 18, 2018","5.5811","5.6051","5.6254","5.5418","-0.41%"
"Jul 17, 2018","5.6043","5.6765","5.6958","5.5792","-1.25%"
"Jul 16, 2018","5.6750","5.6528","5.7028","5.6380","0.03%"
"Jul 13, 2018","5.6735","5.6658","5.6941","5.6039","0.11%"
"Jul 12, 2018","5.6672","5.6922","5.8052","5.5831","-0.41%"
"Jul 11, 2018","5.6905","5.5268","5.6991","5.5086","2.93%"
"Jul 10, 2018","5.5287","5.5695","5.5935","5.4535","-0.61%"
"Jul 09, 2018","5.5627","5.3659","5.5798","5.3031","3.61%"
"Jul 06, 2018","5.3689","5.3703","5.4108","5.3624","-0.00%"
"Jul 05, 2018","5.3690","5.4429","5.4763","5.3557","-1.30%"
"Jul 04, 2018","5.4398","5.4422","5.5049","5.4295","-0.08%"
"Jul 03, 2018","5.4444","5.3716","5.4648","5.3613","1.33%"
"Jul 02, 2018","5.3729","5.3485","5.4058","5.3397","0.24%"
"Jun 29, 2018","5.3601","5.3021","5.3853","5.2884","1.04%"
"Jun 28, 2018","5.3048","5.3411","5.3678","5.2904","-0.67%"
"Jun 27, 2018","5.3406","5.3755","5.4245","5.3268","-0.66%"
"Jun 26, 2018","5.3759","5.4784","5.5180","5.3634","-1.88%"
"Jun 25, 2018","5.4787","5.4341","5.5084","5.2793","0.48%"
"Jun 22, 2018","5.4523","5.4749","5.5211","5.4240","-0.50%"
"Jun 21, 2018","5.4795","5.4787","5.5105","5.4629","0.05%"
"Jun 20, 2018","5.4767","5.4927","5.5195","5.4725","-0.31%"
"Jun 19, 2018","5.4939","5.4694","5.5166","5.4405","0.48%"
"Jun 18, 2018","5.4677","5.4878","5.5077","5.4164","-0.43%"
"Jun 15, 2018","5.4912","5.4669","5.5182","5.4478","0.44%"
"Jun 14, 2018","5.4674","5.4746","5.5347","5.4052","-0.18%"
"Jun 13, 2018","5.4772","5.3971","5.5187","5.3800","1.49%"
"Jun 12, 2018","5.3968","5.3311","5.4024","5.3102","1.23%"
"Jun 11, 2018","5.3311","5.2611","5.3555","5.2558","1.26%"
"Jun 08, 2018","5.2650","5.2916","5.3421","5.2480","-0.50%"
"Jun 07, 2018","5.2912","5.3635","5.4267","5.2650","-1.34%"
"Jun 06, 2018","5.3633","5.3878","5.4412","5.3411","-0.47%"
"Jun 05, 2018","5.3886","5.3719","5.4182","5.3537","0.31%"
"Jun 04, 2018","5.3721","5.4192","5.4681","5.3546","-0.94%"
"Jun 01, 2018","5.4231","5.2898","5.4316","5.2771","2.52%"
"May 31, 2018","5.2900","5.2085","5.3056","5.1988","1.58%"
"May 30, 2018","5.2076","5.2493","5.2693","5.1670","-0.79%"
"May 29, 2018","5.2493","5.3202","5.3536","5.2284","-1.44%"
"May 28, 2018","5.3261","5.4913","5.5233","5.3027","-2.91%"
"May 25, 2018","5.4859","5.5194","5.6238","5.4641","-0.56%"
"May 24, 2018","5.5168","5.3517","5.6334","5.3079","3.07%"
"May 23, 2018","5.3523","5.5004","5.7641","5.3106","-2.68%"
"May 22, 2018","5.4997","5.3948","5.5075","5.3574","1.95%"
"May 21, 2018","5.3945","5.2821","5.4119","5.2772","1.97%"
"May 18, 2018","5.2901","5.2615","5.3047","5.2428","0.56%"
"May 17, 2018","5.2608","5.2089","5.2721","5.2072","0.94%"
"May 16, 2018","5.2117","5.2594","5.3224","5.1817","-0.95%"
"May 15, 2018","5.2618","5.2100","5.3097","5.1796","1.03%"
"May 14, 2018","5.2084","5.1536","5.2183","5.1454","1.09%"
"May 11, 2018","5.1521","5.0470","5.1586","5.0354","2.10%"
"May 10, 2018","5.0462","5.0816","5.1100","5.0300","-0.68%"
"May 09, 2018","5.0810","5.1397","5.1780","5.0479","-1.16%"
"May 08, 2018","5.1406","5.0846","5.1483","5.0759","1.05%"
"May 07, 2018","5.0873","5.0548","5.0961","5.0426","0.65%"
"May 04, 2018","5.0543","5.0537","5.1350","5.0432","0.07%"
"May 03, 2018","5.0508","4.9919","5.0773","4.9783","1.18%"
"May 02, 2018","4.9920","4.9184","5.0053","4.9081","1.44%"
"May 01, 2018","4.9209","4.9075","4.9461","4.8930","0.31%"
"Apr 30, 2018","4.9059","4.9026","4.9291","4.8704","0.06%"
"Apr 27, 2018","4.9032","4.9224","4.9367","4.8779","-0.37%"
"Apr 26, 2018","4.9215","4.9592","4.9775","4.9120","-0.83%"
"Apr 25, 2018","4.9628","5.0017","5.0112","4.9213","-0.71%"
"Apr 24, 2018","4.9984","5.0150","5.0232","4.9725","-0.34%"
"Apr 23, 2018","5.0153","5.0095","5.0291","4.9847","0.12%"
"Apr 20, 2018","5.0094","4.9882","5.0117","4.9536","0.42%"
"Apr 19, 2018","4.9882","4.9592","5.0045","4.9569","0.57%"
"Apr 18, 2018","4.9600","5.0695","5.0831","4.9558","-2.14%"
"Apr 17, 2018","5.0683","5.0675","5.1155","5.0454","-0.05%"
"Apr 16, 2018","5.0709","5.0498","5.0971","5.0454","0.38%"
"Apr 13, 2018","5.0518","5.0667","5.0775","5.0160","-0.29%"
"Apr 12, 2018","5.0667","5.1129","5.1457","5.0236","-0.94%"
"Apr 11, 2018","5.1150","5.0838","5.1944","5.0730","0.67%"
"Apr 10, 2018","5.0809","5.0176","5.1173","4.9889","1.24%"
"Apr 09, 2018","5.0186","4.9624","5.0236","4.9508","1.01%"
"Apr 06, 2018","4.9684","4.9601","4.9779","4.9371","0.19%"
"Apr 05, 2018","4.9591","4.9089","4.9630","4.9044","1.00%"
"Apr 04, 2018","4.9101","4.8956","4.9489","4.8902","0.32%"
"Apr 03, 2018","4.8944","4.8884","4.9101","4.8757","0.13%"
"Apr 02, 2018","4.8882","4.8735","4.8983","4.8671","0.30%"
"Mar 30, 2018","4.8738","4.8496","4.8824","4.8448","0.50%"
"Mar 29, 2018","4.8494","4.9338","4.9492","4.8326","-1.75%"
"Mar 28, 2018","4.9359","4.9401","4.9669","4.9278","-0.06%"
"Mar 27, 2018","4.9387","4.9356","4.9593","4.9269","0.09%"
"Mar 26, 2018","4.9344","4.9173","4.9631","4.8873","0.30%"
"Mar 23, 2018","4.9195","4.8389","4.9730","4.8361","1.64%"
"Mar 22, 2018","4.8400","4.8231","4.8557","4.8171","0.36%"
"Mar 21, 2018","4.8225","4.8172","4.8415","4.8037","0.14%"
"Mar 20, 2018","4.8159","4.8536","4.8699","4.8082","-0.81%"
"Mar 19, 2018","4.8553","4.8166","4.8719","4.8073","0.86%"
"Mar 16, 2018","4.8138","4.7945","4.8320","4.7889","0.43%"
"Mar 15, 2018","4.7934","4.7973","4.8210","4.7870","-0.09%"
"Mar 14, 2018","4.7979","4.7998","4.8124","4.7686","-0.03%"
"Mar 13, 2018","4.7994","4.7397","4.8048","4.7253","1.23%"
"Mar 12, 2018","4.7409","4.6855","4.7504","4.6851","1.08%"
"Mar 09, 2018","4.6903","4.7076","4.7144","4.6763","-0.37%"
"Mar 08, 2018","4.7076","4.7195","4.7412","4.6999","-0.21%"
"Mar 07, 2018","4.7175","4.7059","4.7355","4.7036","0.24%"
"Mar 06, 2018","4.7062","4.6996","4.7176","4.6825","0.17%"
"Mar 05, 2018","4.6981","4.6925","4.7146","4.6803","0.19%"
"Mar 02, 2018","4.6894","4.6686","4.7108","4.6579","0.45%"
"Mar 01, 2018","4.6685","4.6321","4.6764","4.6265","0.78%"
"Feb 28, 2018","4.6322","4.6673","4.6701","4.6277","-0.76%"
"Feb 27, 2018","4.6676","4.6635","4.6786","4.6476","0.10%"
"Feb 26, 2018","4.6630","4.6576","4.6705","4.6489","0.07%"
"Feb 23, 2018","4.6598","4.6661","4.6723","4.6468","-0.14%"
"Feb 22, 2018","4.6662","4.6536","4.6833","4.6495","0.25%"
"Feb 21, 2018","4.6546","4.6877","4.7002","4.6528","-0.67%"
"Feb 20, 2018","4.6862","4.6612","4.7070","4.6481","0.52%"
"Feb 19, 2018","4.6619","4.6497","4.6743","4.6410","0.28%"
"Feb 16, 2018","4.6490","4.7081","4.7316","4.6419","-1.25%"
"Feb 15, 2018","4.7077","4.7074","4.7219","4.6950","-0.03%"
"Feb 14, 2018","4.7090","4.7086","4.7255","4.6785","0.04%"
"Feb 13, 2018","4.7069","4.6691","4.7112","4.6632","0.78%"
"Feb 12, 2018","4.6706","4.6831","4.6902","4.6527","-0.13%"
"Feb 09, 2018","4.6769","4.6799","4.7005","4.6673","-0.07%"
"Feb 08, 2018","4.6803","4.6661","4.6971","4.6489","0.30%"
"Feb 07, 2018","4.6665","4.6649","4.6806","4.6413","0.02%"
"Feb 06, 2018","4.6655","4.6877","4.7102","4.6485","-0.47%"
"Feb 05, 2018","4.6873","4.6948","4.7042","4.6622","-0.32%"
"Feb 02, 2018","4.7023","4.6707","4.7082","4.6650","0.73%"
"Feb 01, 2018","4.6681","4.6618","4.6801","4.6462","0.08%"
"Jan 31, 2018","4.6646","4.6890","4.6965","4.6511","-0.52%"
"Jan 30, 2018","4.6892","4.6974","4.7067","4.6727","-0.17%"
"Jan 29, 2018","4.6972","4.6637","4.6999","4.6463","0.72%"
"Jan 26, 2018","4.6638","4.6533","4.6773","4.6451","0.26%"
"Jan 25, 2018","4.6518","4.6384","4.6809","4.6248","0.28%"
"Jan 24, 2018","4.6386","4.6318","4.6511","4.6162","0.11%"
"Jan 23, 2018","4.6334","4.6305","4.6555","4.6223","0.12%"
"Jan 22, 2018","4.6280","4.7088","4.7222","4.6185","-0.52%"
"Jan 19, 2018","4.6521","4.6139","4.6699","4.6052","0.83%"
"Jan 18, 2018","4.6140","4.6513","4.6606","4.5942","-0.83%"
"Jan 17, 2018","4.6528","4.6555","4.6853","4.6456","-0.08%"
"Jan 16, 2018","4.6565","4.6632","4.6972","4.6168","-0.09%"
"Jan 15, 2018","4.6608","4.5700","4.6685","4.5678","2.03%"
"Jan 12, 2018","4.5680","4.5435","4.5802","4.5338","0.59%"
"Jan 11, 2018","4.5410","4.5390","4.5727","4.5157","0.04%"
"Jan 10, 2018","4.5391","4.4990","4.5728","4.4934","0.92%"
"Jan 09, 2018","4.4978","4.4824","4.5072","4.4744","0.38%"
"Jan 08, 2018","4.4809","4.4893","4.5084","4.4765","-0.32%"
"Jan 05, 2018","4.4954","4.5255","4.5382","4.4920","-0.61%"
"Jan 04, 2018","4.5231","4.5448","4.5539","4.5153","-0.44%"
"Jan 03, 2018","4.5431","4.5419","4.5607","4.5077","0.02%"
"Jan 02, 2018","4.5423","4.5481","4.5606","4.5225","-0.14%"
"Jan 01, 2018","4.5488","4.5510","4.5583","4.5442","0.03%"
"Dec 29, 2017","4.5473","4.5084","4.5616","4.5026","0.86%"
"Dec 28, 2017","4.5084","4.5359","4.5651","4.4950","-0.61%"
"Dec 27, 2017","4.5359","4.5198","4.5556","4.5107","0.34%"
"Dec 26, 2017","4.5205","4.5209","4.5335","4.5033","0.03%"
"Dec 25, 2017","4.5190","4.5180","4.5363","4.5018","-0.13%"
"Dec 22, 2017","4.5249","4.5339","4.5390","4.5052","-0.17%"
"Dec 21, 2017","4.5327","4.5359","4.5541","4.5229","-0.06%"
"Dec 20, 2017","4.5352","4.5384","4.5553","4.5247","-0.08%"
"Dec 19, 2017","4.5389","4.5108","4.5476","4.5053","0.59%"
"Dec 18, 2017","4.5124","4.5398","4.5568","4.5080","-0.59%"
"Dec 15, 2017","4.5391","4.5800","4.5850","4.5322","-0.85%"
"Dec 14, 2017","4.5780","4.5080","4.6042","4.5040","1.55%"
"Dec 13, 2017","4.5081","4.5161","4.5397","4.4939","-0.22%"
"Dec 12, 2017","4.5182","4.5176","4.5278","4.4928","0.06%"
"Dec 11, 2017","4.5155","4.5153","4.5268","4.4993","-0.01%"
"Dec 08, 2017","4.5161","4.5495","4.5590","4.4982","-0.70%"
"Dec 07, 2017","4.5480","4.5423","4.5717","4.5377","0.13%"
"Dec 06, 2017","4.5422","4.5457","4.5735","4.5319","-0.09%"
"Dec 05, 2017","4.5464","4.5963","4.6070","4.5332","-1.10%"
"Dec 04, 2017","4.5971","4.6505","4.6830","4.5751","-1.20%"
"Dec 01, 2017","4.6531","4.6638","4.7047","4.6452","-0.26%"
"Nov 30, 2017","4.6651","4.6941","4.7016","4.6516","-0.60%"
"Nov 29, 2017","4.6932","4.6937","4.7101","4.6719","-0.03%"
"Nov 28, 2017","4.6945","4.6474","4.7209","4.6414","1.01%"
"Nov 27, 2017","4.6476","4.7060","4.7197","4.6347","-1.22%"
"Nov 24, 2017","4.7050","4.6445","4.7196","4.6277","1.27%"
"Nov 23, 2017","4.6459","4.6328","4.6717","4.6169","0.29%"
"Nov 22, 2017","4.6323","4.6443","4.6771","4.6250","-0.26%"
"Nov 21, 2017","4.6443","4.6094","4.6726","4.5971","0.75%"
"Nov 20, 2017","4.6096","4.5711","4.6305","4.5255","0.80%"
"Nov 17, 2017","4.5732","4.5491","4.6070","4.5402","0.59%"
"Nov 16, 2017","4.5466","4.5762","4.5870","4.5324","-0.65%"
"Nov 15, 2017","4.5764","4.5836","4.6121","4.5717","-0.18%"
"Nov 14, 2017","4.5847","4.5165","4.5952","4.5098","1.53%"
"Nov 13, 2017","4.5156","4.5144","4.5370","4.4780","0.19%"
"Nov 10, 2017","4.5069","4.4988","4.5183","4.4882","0.17%"
"Nov 09, 2017","4.4991","4.4852","4.5225","4.4538","0.35%"
"Nov 08, 2017","4.4834","4.4999","4.5237","4.4676","-0.38%"
"Nov 07, 2017","4.5007","4.4448","4.5125","4.4397","1.27%"
"Nov 06, 2017","4.4444","4.5118","4.5190","4.4303","-1.49%"
"Nov 03, 2017","4.5118","4.4272","4.5174","4.4238","1.92%"
"Nov 02, 2017","4.4269","4.4303","4.4595","4.4179","-0.08%"
"Nov 01, 2017","4.4303","4.4161","4.4567","4.4045","0.32%"
"Oct 31, 2017","4.4162","4.4039","4.4424","4.3787","0.28%"
"Oct 30, 2017","4.4039","4.3991","4.4136","4.3651","0.12%"
"Oct 27, 2017","4.3985","4.4507","4.4672","4.3890","-1.18%"
"Oct 26, 2017","4.4508","4.4492","4.4813","4.4094","0.02%"
"Oct 25, 2017","4.4497","4.3998","4.4959","4.3788","1.12%"
"Oct 24, 2017","4.4002","4.3663","4.4235","4.3522","0.78%"
"Oct 23, 2017","4.3663","4.3219","4.3741","4.3167","0.91%"
"Oct 20, 2017","4.3270","4.3178","4.3433","4.3057","0.14%"
"Oct 19, 2017","4.3208","4.3374","4.3457","4.3166","-0.34%"
"Oct 18, 2017","4.3354","4.3153","4.3398","4.3068","0.50%"
"Oct 17, 2017","4.3138","4.3032","4.3369","4.2917","0.29%"
"Oct 16, 2017","4.3013","4.2930","4.3122","4.2790","0.09%"
"Oct 13, 2017","4.2976","4.3201","4.3372","4.2865","-0.58%"
"Oct 12, 2017","4.3228","4.3296","4.3527","4.3078","-0.09%"
"Oct 11, 2017","4.3266","4.3825","4.3860","4.3190","-1.26%"
"Oct 10, 2017","4.3819","4.3445","4.3868","4.3147","0.84%"
"Oct 09, 2017","4.3453","4.2382","4.4267","4.2341","2.44%"
"Oct 06, 2017","4.2417","4.1964","4.2527","4.1851","1.07%"
"Oct 05, 2017","4.1967","4.2007","4.2096","4.1749","-0.11%"
"Oct 04, 2017","4.2012","4.1949","4.2085","4.1848","0.15%"
"Oct 03, 2017","4.1947","4.1790","4.2239","4.1773","0.33%"
"Oct 02, 2017","4.1810","4.2130","4.2154","4.1810","-0.69%"
"Sep 29, 2017","4.2101","4.1937","4.2165","4.1837","0.33%"
"Sep 28, 2017","4.1962","4.2028","4.2229","4.1875","-0.13%"
"Sep 27, 2017","4.2016","4.1715","4.2092","4.1688","0.57%"
"Sep 26, 2017","4.1776","4.2065","4.2115","4.1632","-0.66%"
"Sep 25, 2017","4.2053","4.1793","4.2128","4.1617","0.67%"
"Sep 22, 2017","4.1773","4.1832","4.1950","4.1669","-0.12%"
"Sep 21, 2017","4.1825","4.1640","4.1932","4.1535","0.39%"
"Sep 20, 2017","4.1662","4.1864","4.1963","4.1574","-0.43%"
"Sep 19, 2017","4.1844","4.1707","4.2019","4.1621","0.31%"
"Sep 18, 2017","4.1713","4.1096","4.1774","4.0955","1.60%"
"Sep 15, 2017","4.1055","4.0919","4.1225","4.0830","0.33%"
"Sep 14, 2017","4.0919","4.1093","4.1270","4.0823","-0.45%"
"Sep 13, 2017","4.1102","4.1082","4.1327","4.1003","0.05%"
"Sep 12, 2017","4.1082","4.0710","4.1187","4.0660","0.91%"
"Sep 11, 2017","4.0712","4.1060","4.1071","4.0668","-0.85%"
"Sep 08, 2017","4.1060","4.0917","4.1268","4.0894","0.31%"
"Sep 07, 2017","4.0932","4.0843","4.1168","4.0720","0.26%"
"Sep 06, 2017","4.0824","4.0937","4.1198","4.0763","-0.32%"
"Sep 05, 2017","4.0954","4.0879","4.1057","4.0750","0.23%"
"Sep 04, 2017","4.0861","4.0633","4.0998","4.0565","0.50%"
"Sep 01, 2017","4.0658","4.1124","4.1147","4.0491","-1.13%"
"Aug 31, 2017","4.1121","4.0976","4.1222","4.0887","0.25%"
"Aug 30, 2017","4.1020","4.1269","4.1350","4.0929","-0.59%"
"Aug 29, 2017","4.1264","4.1251","4.1612","4.1155","0.02%"
"Aug 28, 2017","4.1257","4.1067","4.1303","4.0998","0.61%"
"Aug 25, 2017","4.1006","4.1101","4.1197","4.0819","-0.24%"
"Aug 24, 2017","4.1105","4.1071","4.1181","4.0942","0.07%"
"Aug 23, 2017","4.1075","4.1091","4.1367","4.1037","-0.06%"
"Aug 22, 2017","4.1101","4.1303","4.1360","4.1027","-0.50%"
"Aug 21, 2017","4.1306","4.1316","4.1417","4.1081","-0.19%"
"Aug 18, 2017","4.1384","4.1331","4.1562","4.1215","0.13%"
"Aug 17, 2017","4.1332","4.1357","4.1491","4.1057","-0.09%"
"Aug 16, 2017","4.1368","4.1499","4.1600","4.1200","-0.28%"
"Aug 15, 2017","4.1486","4.1532","4.1579","4.1303","-0.11%"
"Aug 14, 2017","4.1533","4.1788","4.1836","4.1444","-0.66%"
"Aug 11, 2017","4.1808","4.1692","4.1912","4.1584","0.27%"
"Aug 10, 2017","4.1694","4.1601","4.1736","4.1340","0.23%"
"Aug 09, 2017","4.1598","4.1524","4.1674","4.1407","0.16%"
"Aug 08, 2017","4.1533","4.1631","4.1742","4.1368","-0.23%"
"Aug 07, 2017","4.1627","4.1560","4.1767","4.1509","0.23%"
"Aug 04, 2017","4.1532","4.2020","4.2120","4.1437","-1.15%"
"Aug 03, 2017","4.2015","4.1846","4.2101","4.1819","0.38%"
"Aug 02, 2017","4.1857","4.1639","4.2031","4.1571","0.55%"
"Aug 01, 2017","4.1626","4.1670","4.1715","4.1409","-0.12%"
"Jul 31, 2017","4.1676","4.1421","4.1734","4.1231","0.52%"
"Jul 28, 2017","4.1460","4.1295","4.1547","4.1188","0.40%"
"Jul 27, 2017","4.1293","4.1501","4.1531","4.1129","-0.51%"
"Jul 26, 2017","4.1506","4.1628","4.1666","4.1209","-0.25%"
"Jul 25, 2017","4.1611","4.1411","4.1716","4.1353","0.49%"
"Jul 24, 2017","4.1407","4.1303","4.1636","4.1103","0.39%"
"Jul 21, 2017","4.1245","4.1017","4.1356","4.0930","0.56%"
"Jul 20, 2017","4.1014","4.0554","4.1099","4.0523","1.13%"
"Jul 19, 2017","4.0557","4.0701","4.0816","4.0470","-0.37%"
"Jul 18, 2017","4.0708","4.0504","4.0899","4.0470","0.51%"
"Jul 17, 2017","4.0500","4.0552","4.0672","4.0409","-0.19%"
"Jul 14, 2017","4.0578","4.0651","4.0769","4.0397","-0.16%"
"Jul 13, 2017","4.0644","4.0706","4.0950","4.0496","-0.16%"
"Jul 12, 2017","4.0709","4.1441","4.1524","4.0656","-1.77%"
"Jul 11, 2017","4.1444","4.1137","4.1552","4.1065","0.76%"
"Jul 10, 2017","4.1133","4.1209","4.1324","4.1012","-0.29%"
"Jul 07, 2017","4.1251","4.1351","4.1653","4.1132","-0.28%"
"Jul 06, 2017","4.1365","4.0959","4.1471","4.0819","1.04%"
"Jul 05, 2017","4.0938","4.0385","4.1002","4.0320","1.37%"
